commit,line,message,time,ngram,leven,code,flag
-1206.0,-75734.0,11.0,54927.0,8.0,104.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,9.0,95.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,156.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,287.0,17.0,1.0
-1206.0,-75734.0,11.0,54927.0,36.0,80.0,9.0,3.0
-1206.0,-75734.0,11.0,54927.0,55.0,34.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,57.0,32.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,70.0,106.0,18.0,1.0
-1206.0,-75734.0,11.0,54927.0,10.0,412.0,25.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,32.0,5.0,1.0
-1206.0,-75734.0,11.0,54927.0,11.0,647.0,45.0,1.0
-1206.0,-75734.0,11.0,54927.0,0.0,139.0,10.0,1.0
-1206.0,-75734.0,11.0,54927.0,57.0,31.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,84.0,7.0,1.0
-1206.0,-75734.0,11.0,54927.0,21.0,177.0,13.0,3.0
-1206.0,-75734.0,11.0,54927.0,44.0,55.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,59.0,28.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,39.0,5.0,1.0
-1206.0,-75734.0,11.0,54927.0,31.0,100.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,61.0,7.0,1.0
-1206.0,-75734.0,11.0,54927.0,46.0,52.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,0.0,46.0,6.0,1.0
-1206.0,-75734.0,11.0,54927.0,23.0,30.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,47.0,49.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,45.0,54.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,44.0,55.0,8.0,3.0
-1206.0,-75734.0,11.0,54927.0,57.0,32.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,58.0,30.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,18.0,313.0,19.0,1.0
-1206.0,-75734.0,11.0,54927.0,33.0,93.0,10.0,3.0
-1206.0,-75734.0,11.0,54927.0,20.0,36.0,7.0,3.0
-1206.0,-75734.0,11.0,54927.0,53.0,37.0,7.0,3.0
